MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
20,RL,19.73935780035551,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,3.9924581716553322,1.9018825869408935e+51,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,190.2645499381841,Unf,0.0,27.97619194830879,1040.0,GasA,Ex,Y,SBrkr,6.978179365149592,0.0,0.0,8.310398848800947,0.993262988983687,0.0,1,0.0,3,0.7509550520293038,TA,1.8700913302730977,Typ,0.0,None,Detchd,5.896758789137054e+56,Unf,1.0,384.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2008,WD,Normal
60,RL,22.340741470418788,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,3.9924581716553322,2.6216165111081797e+51,2006,Hip,CompShg,WdShing,Wd Shng,Stone,23.36020397579102,Ex,TA,PConc,Ex,TA,No,GLQ,204.15737362348813,Unf,0.0,33.14641118855894,1175.0,GasA,Ex,Y,SBrkr,7.107176252383464,1385.2063720295496,0.0,9.471657124558172,0.993262988983687,0.0,3,0.0,4,0.7509550520293038,Ex,2.6372554665538246,Typ,1.6881471699168629,Gd,BuiltIn,8.408124652151017e+56,Fin,3.0,736.0,TA,TA,Y,35.59746306882867,6.7712393134885955,0.0,0.0,0.0,0.0,0.0,7,2006,New,Partial
20,RL,20.550140637669834,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,4.680717059976833,1.8561614020039667e+51,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,163.67404549800276,Unf,0.0,32.918470355119744,912.0,GasA,TA,Y,SBrkr,6.845845209074976,0.0,0.0,8.12518909053415,0.993262988983687,0.0,1,0.0,2,0.7509550520293038,TA,1.672455069533555,Typ,0.0,None,Detchd,5.740250508277826e+56,Unf,1.0,352.0,TA,TA,Y,34.4768470139825,0.0,0.0,0.0,23.370647088177005,0.0,0.0,9,2008,WD,Normal
20,RL,23.3293719003419,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,3.9924581716553322,2.6425187759184894e+51,2007,Gable,CompShg,VinylSd,VinylSd,Stone,24.10058373321285,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,118.1933121745093,1494.0,GasA,Ex,Y,SBrkr,7.343361778420437,0.0,0.0,8.827692729339848,0.0,0.0,2,0.0,3,0.7509550520293038,Gd,2.185434739020803,Typ,0.9032993982514254,Gd,Attchd,8.482264301434868e+56,RFn,3.0,840.0,TA,TA,Y,37.628135469014545,8.73561718102702,0.0,0.0,0.0,0.0,0.0,8,2007,New,Partial
20,RL,20.666011028343497,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,3.9924581716553322,1.826255139877364e+51,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,20.32380087100356,TA,TA,CBlock,TA,TA,No,BLQ,163.02551452840797,Unf,0.0,63.314109476236204,1253.0,GasA,TA,Y,SBrkr,7.165980771971051,0.0,0.0,8.57528393815581,0.993262988983687,0.0,1,1.0685785456566268,2,0.7509550520293038,TA,1.8700913302730977,Typ,0.9032993982514254,Fa,Attchd,5.638097445337354e+56,RFn,1.0,352.0,TA,TA,Y,0.0,23.04988158249051,13.510312520433418,0.0,0.0,0.0,0.0,5,2008,WD,Normal
45,RM,16.09972409113881,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,6.001835562780168,1.416740646446024e+51,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,83.67633089432576,832.0,GasA,Ex,Y,FuseA,6.779652160740063,0.0,0.0,8.032992252363394,0.0,0.0,1,0.0,2,0.7509550520293038,TA,1.8700913302730977,Typ,0.0,None,Detchd,7.432269204878867e+56,Unf,2.0,576.0,TA,TA,Y,16.913740673147476,16.684370555983325,0.0,0.0,0.0,0.0,0.0,7,2007,WD,Normal
20,RL,20.666011028343497,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5.349544880760879,1.9804377338274065e+51,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,18.820099251918954,TA,TA,CBlock,TA,TA,No,ALQ,137.06934985965847,Unf,0.0,56.220868840177836,1004.0,GasA,Ex,Y,SBrkr,6.942679073489784,0.0,0.0,8.26059746853802,0.993262988983687,0.0,1,0.0,2,0.7509550520293038,TA,1.8700913302730977,Typ,0.9032993982514254,TA,Attchd,6.166584217220537e+56,Fin,2.0,480.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,7.26635042319123,3,2010,WD,Normal
90,RL,20.09816254151542,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,3.9924581716553322,1.9329474926254438e+51,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,None,None,None,None,0.0,None,0.0,0.0,0.0,GasA,TA,Y,SBrkr,7.199998793958151,0.0,0.0,8.623522929591083,0.0,0.0,2,0.0,2,1.2485384754774442,TA,2.0385288463122158,Typ,0.0,None,CarPort,6.003324351291069e+56,Unf,2.0,516.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,6.8568335967121605,10,2006,WD,Normal
20,RL,19.009328595914607,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,3.9924581716553322,2.6008692837419268e+51,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,148.66635197572958,Unf,0.0,59.46363343921935,1114.0,GasA,Ex,Y,SBrkr,7.047453640985004,0.0,0.0,8.407826727211472,0.993262988983687,0.0,1,1.0685785456566268,3,0.7509550520293038,Gd,2.0385288463122158,Typ,0.0,None,Detchd,8.334596539782245e+56,Unf,2.0,576.0,TA,TA,Y,0.0,15.904956895099067,0.0,0.0,0.0,0.0,0.0,6,2008,WD,Normal
20,RL,19.73935780035551,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,4.680717059976833,1.796800942572648e+51,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,124.01235620713062,Unf,0.0,63.675654460079876,1029.0,GasA,TA,Y,SBrkr,7.232908555948637,0.0,0.0,8.670266020038289,0.0,0.0,1,0.0,3,0.7509550520293038,TA,2.0385288463122158,Min1,0.0,None,Attchd,5.537660825113864e+56,Unf,1.0,294.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2009,COD,Abnorml
60,RL,24.921312153852828,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,3.9924581716553322,2.6216165111081797e+51,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,26.620642957547823,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,101.72178890445682,1158.0,GasA,Ex,Y,SBrkr,7.086498508739781,1480.4093519664123,0.0,9.504289033938733,0.0,0.0,3,1.0685785456566268,4,0.7509550520293038,Gd,2.433014249065653,Typ,0.9032993982514254,Gd,BuiltIn,8.408124652151017e+56,RFn,3.0,853.0,TA,TA,Y,49.00685289320675,19.60404858529446,0.0,0.0,0.0,0.0,0.0,11,2006,New,Partial
45,RM,17.299459180269814,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,5.349544880760879,1.4284829113824533e+51,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,71.42930930642413,637.0,GasA,Ex,Y,FuseF,7.042010456044722,0.0,0.0,8.400159554303842,0.0,0.0,1,0.0,3,0.7509550520293038,Gd,2.0385288463122158,Typ,0.9032993982514254,Gd,Attchd,4.297288111538165e+56,Unf,1.0,280.0,TA,TA,N,0.0,0.0,14.350738221200128,0.0,0.0,0.0,0.0,6,2007,WD,Normal
20,RL,20.62905025242999,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,3.9924581716553322,2.55983565430044e+51,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,23.17047381010875,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,130.88759468957673,1777.0,GasA,Ex,Y,SBrkr,7.5285016400033875,0.0,0.0,9.093463627987486,0.0,0.0,2,0.0,3,0.7509550520293038,Gd,2.185434739020803,Typ,0.9032993982514254,Gd,Attchd,8.189355988273433e+56,RFn,2.0,534.0,TA,TA,Y,39.29959992611893,19.921230800897206,0.0,0.0,0.0,0.0,0.0,9,2008,WD,Normal
120,RM,14.62718346612458,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,5.349544880760879,2.078717230696779e+51,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,180.05794558889357,Unf,0.0,35.694666127004965,1040.0,GasA,TA,Y,SBrkr,6.997375567785538,0.0,0.0,8.337363813704613,0.993262988983687,0.0,1,0.0,3,0.7509550520293038,TA,2.0385288463122158,Typ,0.9032993982514254,TA,Attchd,6.505748486787838e+56,Unf,2.0,572.0,TA,TA,Y,27.625118948564253,16.531591757413114,0.0,0.0,0.0,0.0,0.0,6,2007,WD,Normal
20,RL,20.550140637669834,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6.001835562780168,1.9486576782879885e+51,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,60.148555483234944,ALQ,11.763918158618926,36.12507404243885,1060.0,GasA,Ex,Y,SBrkr,6.997375567785538,0.0,0.0,8.337363813704613,0.993262988983687,0.0,1,0.0,3,0.7509550520293038,Gd,2.0385288463122158,Typ,0.9032993982514254,TA,Attchd,6.057285823960043e+56,Unf,1.0,270.0,TA,TA,Y,68.85472393460195,14.913027425881669,0.0,0.0,0.0,0.0,0.0,5,2010,WD,Normal
20,RL,26.301161284937002,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,3.9924581716553322,2.663577158603061e+51,2007,Gable,CompShg,VinylSd,VinylSd,Stone,33.72089566807967,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,121.5122407568072,1566.0,GasA,Ex,Y,SBrkr,7.412495420192377,0.0,0.0,8.92665658356864,0.0,0.0,2,0.0,3,0.7509550520293038,Gd,2.185434739020803,Typ,0.9032993982514254,Gd,Attchd,8.557020265307174e+56,RFn,3.0,890.0,TA,TA,Y,0.0,11.632856390872336,0.0,0.0,0.0,0.0,0.0,7,2009,WD,Normal
20,RL,17.880542565226317,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5.349544880760879,1.69717987010396e+51,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,70.66589398847337,Rec,10.846760093459247,33.48631753463917,900.0,GasA,TA,Y,SBrkr,6.8325015389910675,0.0,0.0,8.106579596737143,0.0,0.7097229221358835,1,0.0,3,0.7509550520293038,Gd,1.8700913302730977,Typ,0.0,None,Detchd,8.408124652151017e+56,Unf,2.0,576.0,TA,TA,Y,46.58628377220196,8.58813007269455,0.0,0.0,0.0,0.0,0.0,5,2010,WD,Normal
20,RL,24.450590638647412,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,3.9924581716553322,2.663577158603061e+51,2008,Gable,CompShg,VinylSd,VinylSd,Stone,19.776330375884857,Gd,TA,PConc,Ex,TA,No,GLQ,236.0339526655328,Unf,0.0,60.81585523354427,1704.0,GasA,Ex,Y,SBrkr,7.476017426687409,0.0,0.0,9.0178798061921,0.993262988983687,0.0,2,0.0,3,0.7509550520293038,Gd,2.185434739020803,Typ,0.9032993982514254,Gd,Attchd,8.632397356358682e+56,RFn,3.0,772.0,TA,TA,Y,0.0,10.950423504095891,0.0,0.0,0.0,0.0,0.0,5,2010,WD,Normal
20,RL,15.268788458997811,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,4.680717059976833,1.7822413704627677e+51,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,244.30350821189174,Unf,0.0,36.44557152176252,1484.0,GasA,TA,Y,SBrkr,7.412495420192377,0.0,0.0,8.92665658356864,0.993262988983687,0.0,1,0.0,2,0.7509550520293038,TA,2.0385288463122158,Typ,1.6881471699168629,Gd,Attchd,5.488077686368597e+56,RFn,1.0,319.0,TA,TA,Y,55.15655822753147,25.339994092770514,0.0,0.0,0.0,0.0,0.0,12,2006,WD,Normal
30,RM,17.880542565226317,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,4.680717059976833,1.393527000643513e+51,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,63.314109476236204,520.0,GasA,Fa,N,SBrkr,6.280259653412853,0.0,0.0,7.346861841782857,0.0,0.0,1,0.0,1,0.7509550520293038,Fa,1.672455069533555,Typ,0.0,None,Detchd,3.9216988051509383e+56,Unf,1.0,240.0,Fa,TA,Y,17.151280714086194,0.0,10.133566463405302,0.0,0.0,0.0,0.0,5,2008,WD,Normal
70,C (all),15.89447150077168,8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,3.2807823897062485,1.3150560434988218e+51,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,72.22478495142876,649.0,GasA,TA,N,SBrkr,6.503248517343379,796.639887575838,0.0,8.646531913086733,0.0,0.0,1,0.0,3,0.7509550520293038,TA,2.0385288463122158,Typ,0.0,None,Detchd,3.9216988051509383e+56,Unf,1.0,250.0,TA,Fa,N,0.0,11.409930376301826,13.387262999517443,0.0,0.0,0.0,0.0,7,2008,WD,Normal
20,RL,20.550140637669834,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,4.680717059976833,1.9173560749034242e+51,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,105.30340722116175,1228.0,GasA,Gd,Y,SBrkr,7.1456631311268906,0.0,0.0,8.5465105350566,0.0,0.0,1,1.0685785456566268,3,0.7509550520293038,Gd,2.0385288463122158,Typ,0.0,None,Attchd,5.949816535076633e+56,Unf,1.0,271.0,TA,TA,Y,0.0,12.586757738007712,0.0,0.0,0.0,0.0,0.0,6,2008,WD,Normal
20,RL,22.340741470418788,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,3.9924581716553322,2.663577158603061e+51,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,105.60636821571765,1234.0,GasA,Ex,Y,SBrkr,7.15057676255904,0.0,0.0,8.553466519158613,0.0,0.0,2,0.0,3,0.7509550520293038,Gd,2.185434739020803,Typ,0.0,None,Attchd,8.557020265307174e+56,RFn,2.0,484.0,TA,TA,Y,0.0,8.285665756095147,0.0,0.0,0.0,0.0,0.0,1,2008,WD,Normal
20,RL,19.73935780035551,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,3.9924581716553322,1.8114719339931736e+51,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,207.1300066538893,Unf,0.0,52.5114413583205,1398.0,GasA,Gd,Y,SBrkr,7.473646695130669,0.0,0.0,9.014470185939945,0.0,0.7097229221358835,1,1.0685785456566268,4,0.7509550520293038,Gd,2.0385288463122158,Typ,0.9032993982514254,Gd,Attchd,5.587666285147531e+56,RFn,2.0,447.0,TA,TA,Y,0.0,9.439814054965058,0.0,0.0,0.0,0.0,0.0,4,2010,WD,Normal
120,RL,17.880542565226317,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,3.9924581716553322,2.6216165111081797e+51,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,21.78420431361831,Ex,TA,PConc,Ex,TA,No,GLQ,226.79452576974995,Unf,0.0,54.79034872944129,1561.0,GasA,Ex,Y,SBrkr,7.387606041387637,0.0,0.0,8.89098962939883,0.993262988983687,0.0,2,0.0,2,0.7509550520293038,Ex,2.0385288463122158,Typ,0.9032993982514254,Gd,Attchd,8.408124652151017e+56,Fin,2.0,556.0,TA,TA,Y,43.95170621900038,10.592743158683941,0.0,0.0,0.0,0.0,0.0,8,2007,WD,Normal
60,RL,25.998534155307045,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,3.9924581716553322,2.6008692837419268e+51,2005,Gable,CompShg,VinylSd,VinylSd,Stone,16.241150298715553,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,99.58178116123058,1117.0,GasA,Ex,Y,SBrkr,7.063609381066592,1608.4773732620545,0.0,9.550782222954862,0.0,0.0,3,1.0685785456566268,4,0.7509550520293038,Gd,2.433014249065653,Typ,0.9032993982514254,Gd,BuiltIn,8.334596539782245e+56,Fin,3.0,691.0,TA,TA,Y,29.946448534702252,8.58813007269455,0.0,0.0,0.0,0.0,0.0,9,2006,WD,Normal
